sentence,target,aspect,sentiment
AB InBev approaches SABMiller to explore $250bn tie-up,SAB Miller,Corporate,0.237
EU regulator backs approval for GSK injectable asthma drug,GSK,Corporate,0.379
Glencore fight back over debt fears lifts shares,Glencore,Corporate,0.278
"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",Ashtead,Stock,0.461
Brewer AB InBev seeks $275 bln tie-up with SABMiller,SABMiller,Corporate,0.295
AB InBev looks to win over SABMiller investors,SABMiller,Corporate,0.276
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,GSK,Corporate,0.418
Copper market may get a 2003-style supply shock from Glencore closures,Glencore,Market,-0.571
TalkTalk hires BAE Systems to investigate cyber attack,TalkTalk,Corporate,-0.113
Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,SAB Miller,Corporate,0.236
CompaniesAB InBev signals it won't go hostile for SABMiller,SAB Miller,Corporate,0.107
AstraZeneca diabetes drug combination faces delay after FDA rebuff,AstraZeneca,Corporate,-0.391
Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,Mylan,Corporate,0.0
SABMiller revenue hit by weaker EM currencies,SAB Miller,Market,-0.439
UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,SAB Miller,Corporate,0.172
Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,Standard Chartered,Market,0.008
AB InBev offers SABMiller $3 billion breakup fee,SAB Miller,Corporate,0.197
GSK joins China trade push as UK trumpets healthcare deals,GSK,Economy,0.294
AB InBev ups offer for SABMiller as deadline looms,SAB Miller,Corporate,0.257
Tesco PLC's Recovery Continues With A Â£250m Cash Infusion,Tesco,Stock,0.337
"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",Glencore,Market,0.162
CompaniesUnilever sales lifted by ice cream in soft economy,Unilever,Corporate,0.383
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,SABMiller,Corporate,0.127
Britain's FTSE forges ahead as Shire surges,Shire,Stock,0.512
AB InBev attacks SABMiller bid rebuffal,SABMiller,Corporate,-0.158
Anheuser-Busch InBev Increases Offer for Rival SABMiller,SABMiller,Corporate,0.24
Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,BHP Billiton,Corporate,0.424
Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,Lloyds,Corporate,0.434
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,Lufthansa,Corporate,-0.227
"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",CNPC,Corporate,0.318
SAB's Chairman Digs In With Board Divided on InBev Offer,SABMiller,Corporate,0.016
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,Kinder Morgan,Corporate,0.225
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,ExxonMobil,Corporate,-0.459
Standard Chartered's Shares Plunge 7% After Fitch Downgrade,Standard Chartered,Stock,-0.812
WPP wins race for 'programmatic buying' agency Essence Digital,WPP,Corporate,0.238
BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,Samarco,Corporate,-0.637
G4S slides on balance sheet worries,G4S,Corporate,-0.593
FDA approves AstraZeneca drug for advanced lung cancer,AstraZeneca,Corporate,0.507
HSBC appoints business leaders to board,HSBC,Corporate,0.154
"HSBC shakes up board with two new business chiefs, three departures",HSBC,Corporate,-0.074
AstraZeneca wins FDA approval for key new lung cancer pill,AstraZeneca,Corporate,0.549
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,Lloyds,Corporate,-0.266
Standard Chartered Shifts Emerging-Markets Strategy After Losses,Standard Chartered,Corporate,-0.461
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,AstraZeneca,Corporate,0.393
Severn Trent share price rises as first half profit inches up as customer ...,Severn Trent,Stock,0.526
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,Glencore,Corporate,0.037
Lloyds to cut 945 jobs as part of three-year restructuring strategy,Lloyds,Corporate,-0.532
AstraZeneca to Buy ZS Pharma for $2.7 Billion,ZS Pharma,Corporate,0.593
"Ackman, in email, says supports Valeant CEO Pearson",Valeant,Corporate,0.166
AstraZeneca sells US drug rights to Perrigo for $380 mln,Perrigo,Corporate,0.326
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",ZS Pharma,Corporate,0.468
CORRECTED-Shire to buy Dyax for about $5.9 bln,Shire,Corporate,0.402
Barclays poised to replace Sir Mike Rake as he heads for exit,Barclays,Corporate,0.077
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,ZS Pharma,Corporate,0.52
AstraZeneca shares climb 3% as drug maker ups profits forecasts,AstraZeneca,Stock,0.64
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,SABMiller,Corporate,0.551
easyJet expects resilient demand to withstand security fears,easyJet,Corporate,0.165
Compass Group says positive for year ahead,Compass Group,Stock,0.634
US dollar wipes out sales gains for SABMiller,SABMiller,Corporate,-0.582
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",SABMiller,Corporate,0.043
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,SABMiller,Corporate,0.429
Valeant CEO Pledges to Heed Critics After `Painful' Experience,Valeant,Corporate,-0.381
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",Aviva,Corporate,0.324
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",Direct Line Insurance Group PLC,Corporate,0.345
StanChart and RBS struggle in Bank of England stress tests,RBS,Economy,-0.738
StanChart and RBS struggle in Bank of England stress tests,Standard Chartered,Corporate,-0.39
Barclays sells benchmark indices unit to Bloomberg,Bloomberg,Corporate,0.281
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Morrisons,Stock,-0.251
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Sainsbury,Corporate,-0.259
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Tesco,Stock,-0.222
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",Shell,Stock,0.276
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",Statoil,Stock,0.294
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,AstraZeneca,Corporate,0.372
Shell and BG Shareholders to Vote on Deal at End of January,Shell,Corporate,0.0
AstraZeneca chases Acerta to secure next cancer drug winner,AstraZeneca,Stock,0.519
CompaniesTesco off to a bad start over Xmas â€“ Kantar,Tesco,Stock,-0.604
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",Julius Baer,Stock,0.31
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,Dixons Carphone,Corporate,0.766
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,Wilshire Bancorp,Corporate,0.818
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,Comcast,Stock,0.623
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,ITV,Stock,0.611
Glencore Studies Possible IPO for Agricultural Trading Business,Glencore,Stock,0.408
Can Christmas Save Sainsbury's plc And Tesco plc?,Tesco,Corporate,-0.175
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,Takeda,Corporate,0.47
Bilfinger Industrial Services win Â£100m BP contract extension,BP,Corporate,0.113
"Standard Chartered, RBS Escape Capital Raising in Stress Test",RBS,Economy,0.335
"Standard Chartered, RBS Escape Capital Raising in Stress Test",Standard Chartered,Corporate,0.321
AstraZeneca weighing up Acerta bid to secure blood cancer drug,AstraZeneca,Stock,0.284
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,Home Retail Group,Economy,0.492
L&G completes UK's largest medically underwritten bulk pension risk deal,L&G,Corporate,0.25
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,Shire,Corporate,0.437
Kingfisher share price slides on cost to implement new strategy,Kingfisher,Stock,-0.786
Shire says internal synergy goals from Baxalta deal higher,Shire,Corporate,0.287
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",BHP,Economy,-0.736
Morrisons and Debenhams surprise City with Christmas bounce back,Debenhams,Stock,0.573
Morrisons and Debenhams surprise City with Christmas bounce back,Morrisons,Stock,0.619
"Britain's FTSE falls back with Ashtead, commodities under pressure",Ashtead,Market,-0.59
Tesco shares jump 6% after Christmas sales beat expectations,Tesco,Corporate,0.814
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",UBI,Corporate,0.133
CompaniesHome Retail trims gains but is considered 'in play',Home Retail,Stock,0.135
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,SABMiller,Corporate,0.577
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,San Miguel,Corporate,0.19
Investors Remain Skeptical About Shell-BG Deal,Shell,Corporate,-0.266
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,Shire,Stock,0.487
Shire share price under pressure after $32bn Baxalta deal,Baxalta,Stock,-0.198
Shire share price under pressure after $32bn Baxalta deal,Shire,Stock,-0.186
Valeant Names Interim Leader as CEO Remains Hospitalized,Valeant,Corporate,0.0
Valeant Said to Name New CEO With Pearson Still Hospitalized,Valeant,Corporate,0.015
Shares in BAE Systems hit 10-month high on rating upgrade,BAE,Stock,0.905
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,SABMiller,Stock,0.236
CompaniesDixons Carphone to close 134 UK stores as sales jump,Dixons Carphone,Corporate,0.144
"Broker tips: RBS, Croda, Sage",RBS,Corporate,0.381
"Broker tips: RBS, Croda, Sage",Sage,Corporate,0.393
Shell share price: Standard Life announce position against BG acquisition,Shell,Corporate,-0.134
Shell share price: Standard Life announce position against BG acquisition,Standard Life,Corporate,-0.099
Tesco share price down as grocer faces SFO investigation outcome,Tesco,Stock,-0.542
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",Tesco,Market,0.439
Greene King's third quarter sales boosted by festive season,Greene King,Corporate,0.363
InterContinental Hotels Group share price climbs on $1.5bn special dividend,InterContinental Hotels Group,Corporate,0.631
Amazon to attack UK grocery market with Morrisons deal,Morrisons,Market,0.333
AstraZeneca share price: Acerta deal pays off with orphan drug status,AstraZeneca,Corporate,0.495
"BHP Billiton posts big loss, slashes dividend",BHP Billiton,Corporate,-0.938
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,LSE,Corporate,0.136
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",Centrica PLC,Corporate,0.1
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",John Wood Group PLC,Corporate,0.103
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,Legal & General Group Plc,Corporate,-0.271
BHP Billiton drags FTSE lower after slashing dividend,BHP Billiton,Corporate,-0.604
"BHP Billiton slashes dividend, posts $5.67 billion net loss",BHP Billiton,Corporate,-0.341
CompaniesMeggitt profits hit by weak energy and military markets,Meggitt,Market,-0.302
Royal Mail share price edges lower as group raises stamp price,Royal Mail,Stock,-0.269
GlaxoSmithKline starts hunt for successor to CEO Witty,GlaxoSmithKline,Corporate,0.0
"Rio Tinto swings to loss, drops dividend policy",Rio Tinto,Corporate,-0.511
France raises concerns over proposed LSE-Deutsche Boerse deal,LSE,Corporate,-0.347
MarketsBP promotes upstream boss to deputy CEO,BP,Corporate,0.066
Legal & General share price: Finance chief to step down,Legal & General,Corporate,-0.166
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,JP Morgan Chase,Corporate,-0.092
Arm profits and sales up as shift away from mobile gains pace,Arm,Corporate,0.497
Barclays appoints JPMorgan's Paul Compton as new COO,Barclays,Corporate,0.036
Barclays appoints JPMorgan's Paul Compton as new COO,JPMorgan,Corporate,-0.014
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",EasyJet,Corporate,-0.238
NYSE owner ICE considers offer for LSE,LSE,Corporate,0.396
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,ICE,Corporate,0.226
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,LSE,Corporate,0.843
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Balfour Beatty plc,Corporate,0.413
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Centrica PLC,Corporate,0.403
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Rival National Grid plc,Corporate,0.408
Intertek swings to Â£347 mln loss on oil's slump,Intertek,Market,-0.734
Sanofi poaches AstraZeneca scientist as new research head,Sanofi,Corporate,0.066
Tesco breaks its downward slide by cutting sales decline in half,Tesco,Corporate,0.172
"News FeedSchroders books solid earnings growth, several board changes",Schroders,Stock,0.5
Intertek Group announces strategic update outlining its plan,Intertek Group,Corporate,0.046
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,London Stock Exchange,Corporate,0.327
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,LSE,Corporate,-0.2
AB InBev to Sell SABMiller Stake in China's Snow Beer,SABMiller,Stock,-0.045
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,LSE,Corporate,0.105
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,RBS,Corporate,0.066
Industry NewsWolseley confident in reslilience amid mixed markets,Wolseley,Market,0.287
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,Tesco,Corporate,-0.498
FTSE edges up as investors cheer Kingfisher results,Kingfisher,Stock,0.678
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,Barclays,Corporate,0.261
Britain's FTSE gets lift from Prudential results,Prudential,Corporate,0.582
Amazon's grocery deal with Morrisons is only the beginning,Morrisons,Corporate,0.389
ICE Said to Start Lining Up Financing for LSE Bidding War,LSE,Corporate,0.328
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",Statoil,Corporate,-0.242
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,LSE,Corporate,0.358
Aviva weighs cash handout after beating profit forecast,Aviva,Corporate,0.377
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",WPP,Stock,0.555
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",Saudi Aramco,Corporate,-0.142
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",Shell,Corporate,-0.102
AB InBev to sell more SAB assets as seeks EU deal approval,SAB,Corporate,-0.079
Tesco's Sales Pickup Isn't Enough,Tesco,Corporate,-0.23
Spain's CaixaBank Expects To Close Deal For Banco BPI,CaixaBank,Corporate,0.375
ITV share price: Group mulls takeover of Canada's Entertainment One,ITV,Corporate,0.422
Entertainment One dispels ITV takeover rumours,Entertainment One,Corporate,0.138
Entertainment One dispels ITV takeover rumours,ITV,Corporate,0.003
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,Bank BPH,Stock,0.213
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,GE,Stock,0.211
Tata Steel working with StanChart for UK unit sale - source,StanChart,Stock,0.218
Tata Steel working with StanChart for UK unit sale - source,Tata Steel,Corporate,0.143
Crown Castle buys Tower Development Corp for $461 million,Tower Development,Corporate,0.366
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,Lazada,Stock,-0.038
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,Tesco,Stock,0.365
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",CaixaBank,Corporate,0.244
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",CaixaBank,Corporate,0.243
Spain's Caixabank launches new takeover bid for Banco BPI,Caixabank,Corporate,0.185
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",Tesco,Corporate,-0.077
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,ITV,Corporate,0.199
Shire Sees Baxalta Deal Closing as Expected After New Rules,Shire,Corporate,0.224
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",OCBC,Corporate,0.257
Tesco share price steady as analysts weigh in on results,Tesco,Stock,0.052
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,Lloyds,Stock,0.292
Should You Follow Berkshire Hathaway Into Apple Stock?,Berkshire Hathaway,Corporate,0.0
Morrisons book second consecutive quarter of sales growth,Morrisons,Corporate,0.43
Royal Mail gets mixed bag from Ofcom postal regulation report,Royal Mail,Corporate,-0.084
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,Barclays,Stock,-0.34
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",SABMiller,Corporate,0.392
Retail giant Kingfisher reports 'solid' start to the year,Kingfisher,Corporate,0.368
"Berkshire discloses unit's ties to Iran, opens probe",Berkshire,Corporate,-0.288
Berkshire Hathaway names Kara Raiguel to lead General Re unit,Berkshire,Corporate,0.077
"European stocks hover near 3-week low, Dialog and BHP slump",Dialog,Stock,-0.584
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,Hargreaves Lansdown,Market,0.571
Australia clears AB Inbev's $100 billion SABMiller buyout plan,AB InBrev,Corporate,0.437
Goodwin not to face Scottish prosecution over RBS,RBS,Corporate,0.114
Royal Mail turnaround proving expensive in tough UK market,Royal Mail,Market,-0.057
Whitbread buys 49% stake in Pure food chain,Whitbread,Corporate,0.365
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",Standard Chartered,Corporate,0.128
Royal Mail share price rallies amid positive broker comments,Royal Mail,Stock,0.59
InterContinental Hotels first-quarter global room revenue lags estimates,InterContinental,Corporate,-0.329
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,AstraZeneca,Corporate,0.395
London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,London Stock Exchange,Corporate,-0.421
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,Home Retail,Corporate,0.0
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,Sainsbury,Corporate,0.0
BP joins forces with Det Norske in Norway,Det Norske,Corporate,0.248
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,Legal & General,Corporate,0.252
Johnson Matthey revs up on clean air drive,Johnson Matthey,Corporate,0.224
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",Barclays,Corporate,0.0
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",Goldman Sachs,Corporate,-0.147
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",HSBC,Corporate,-0.14
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,Asahi,Corporate,0.207
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,SABMiller,Corporate,0.329
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,Deutsche BÃ¶rse,Corporate,-0.473
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,LSE,Corporate,-0.415
Tesco sales recover as focus returns to core business,Tesco,Corporate,0.35
Johnson Matthey profit falls but dividend rises,Johnson Matthey,Corporate,0.0
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",ASOS plc,Corporate,0.0
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",Domino's Pizza Group plc,Corporate,0.063
Priceline's stock jumps to new high for the year after Barclays upgrade,Priceline,Stock,0.847
"Tesco set to sell Kipa, Giraffe businesses - Sky News",Kipa,Stock,-0.192
"Tesco set to sell Kipa, Giraffe businesses - Sky News",Tesco,Stock,0.23
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,Coca-Cola Companp,Corporate,0.259
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,Coca-Cola FEMSA,Corporate,0.293
HSBC Says Unit to Book $585 Million Charge on Settlement,HSBC,Corporate,-0.434
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",JV Partner,Corporate,0.427
Aviva promises higher dividends to boost flagging share price,Aviva,Corporate,0.281
CompaniesFresnillo shares jump 8% as silver price breaks $21,Fresnillo,Stock,0.874
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",Dunelm Group plc,Corporate,0.14
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",Great Portland Estates plc,Corporate,0.165
Berkshire seeks to boost its Wells Fargo stake above 10 percent,Wells Fargo,Stock,0.429
Tesco share price tumbles after negative broker note,Tesco,Stock,-0.779
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,London Stock Exchange,Corporate,0.406
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,Wells Fargo,Stock,0.432
Berkshire applies to boost Wells Fargo stake above 10 percent,Wells Fargo,Stock,0.484
"Aviva, M&G suspend property funds as investors panic",M&G,Corporate,-0.807
"UK housing market steadies after Brexit dip, Persimmon says",Perssimon,Market,0.339
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,Aviva,Corporate,0.439
Builder Persimmon hails 6% rise in house sales,Persimmon,Corporate,0.435
EasyJet attracts more passengers in June but still lags Ryanair,Ryanair,Corporate,0.259
